"인증업체코드","인증분야","인증분야명","업체명","X좌표","Y좌표","주소","전화"
"25","1","위생등급제","태백산맥","127.0081617088","37.552202669","서울특별시 중구 다산로 85 3층 4층 (신당동)","02-2237-0402"
"26","1","위생등급제","하누에뜰","127.0135860272","37.5592876145","서울특별시 중구 다산로 178 (신당동 1층2층)","02-2234-2121"
"27","10","안심마트","롯데쇼핑(주)롯데슈퍼 신당점","127.00760907009481","37.548497800360295","서울특별시 중구 다산로 56 (신당동정은스카이(아) 지하2층)","02-2232-5602"
"28","1","위생등급제","신안동찜닭홍가네해물떡집","127.038396004898","37.56144094138514","서울특별시 성동구 왕십리광장로 17 지상1층 (행당동 왕십리민자역사)","02-2200-1591"
"29","1","위생등급제","육백더육백","127.0234813465","37.5558874994","서울특별시 성동구 행당로 35 (금호동1가 1층)","02-2233-0326"
"30","1","위생등급제","원할머니박가부대찌개","127.0534396063","37.5415734875","서울특별시 성동구 성수이로7길 27 (성수동2가지하1층 102호)","02-2117-0488"
"31","1","위생등급제","구가네씨암탉","127.0358898088","37.5654565697","서울특별시 성동구 마장로26길 14-1 (홍익동(1층))","02-2296-5688"
"32","2","채식메뉴음식점","VIPS","126.98807843049226","37.56895007876835","서울특별시 종로구 삼일대로 386 (관철동)","02-2272-3801"
"33","1","위생등급제","조양갈비","126.9898533291","37.5688024814","서울특별시 종로구 수표로 86-1 1층 (관수동)","02-2266-0999"
"34","1","위생등급제","세종식당","126.9989817031654","37.53608586984805","서울특별시 용산구 이태원로45길 7","02-796-4100"
"35","6","먹을만큼적당히","달인의 족발","127.03379254562219","37.56321550993481","서울특별시 성동구 무학로2길 37 (도선동)","02-2295-4000"
"36","6","먹을만큼적당히","마산아구찜","127.03196881356452","37.565115317989445","서울특별시 성동구 무학로6길 18 지상1층 (도선동 329-9)","02-2298-0785"
"37","6","먹을만큼적당히","탄뽀뽀","127.09569227689692","37.53572634794616","서울특별시 광진구 광나루로56길 85 (구의동테크노마트21 9층38)","02-3424-1556"
"38","1","위생등급제","해마루","126.97756709976872","37.561920779811324","서울특별시 중구 남대문로1길 18 (북창동1층)","02-779-8720"
"39","1","위생등급제","김.삼.보. 관자마을","126.9772995687451","37.56330105536186","서울특별시 중구 남대문로1길 49 (태평로2가 1층)","02-757-5388"
"40","1","위생등급제","크리스탈제이드 레스토랑","126.9811657585","37.5641666919","서울특별시 중구 남대문로7길 16 지하1층 (소공동 한컴빌딩)","02-3789-8088"
"41","1","위생등급제","파레스","126.98125189948831","37.56369097957617","서울특별시 중구 남대문로7길 11 지하1층 (소공동)","02-752-3441"
"42","4","저염실천음식점","세림","126.9811333164","37.5671399738","서울특별시 중구 남대문로9길 24 (다동)","02-319-4603"
"43","1","위생등급제","미도리회집","126.98659483219745","37.5605562388905","서울특별시 중구 퇴계로22길 7 ","02-0776-5560"
"44","6","먹을만큼적당히","삼겹살앤낙지","127.03495306458765","37.56643353037451","서울특별시 성동구 마장로27길 2 (마장동)","02-2297-9073"
"45","1","위생등급제","우정 광화문점","126.9733202","37.5753663549","서울특별시 종로구 사직로 130 (적선동지하1층 32호)","02-732-6007"
"46","1","위생등급제","Salvatore Cuomo &amp; Bar (살바토레쿠오모앤바)","126.9812490619","37.5750110867","서울특별시 종로구 율곡로2길 7 (수송동서머셋팰리스 서울 (지상 1층 102호))","02-3447-0071"
"47","6","먹을만큼적당히","남도한식 고운님","126.97707769588147","37.56339832010651","서울특별시 중구 세종대로 82 (태평로2가(지상2층))","02-775-0038"
"48","1","위생등급제","시래정","127.0582464153","37.5416973544","서울특별시 성동구 연무장길 81 1층 (성수동2가)","02-468-7759"
"49","1","위생등급제","영덕물회&amp;생태","127.0932354727","37.5399017453","서울특별시 광진구 아차산로 461 (구의동1층)","02-454-3396"
"50","1","위생등급제","(주)지유 베네스타","127.0710481259","37.5484622549","서울특별시 광진구 광나루로 369 (군자동두산위브파크상가지하108호)","02-469-2220"
"51","4","저염실천음식점","장군갈비","127.0866413691","37.5635958054","서울특별시 광진구 용마산로 111",""
"52","9","트랜스지방 안심제과점","뚜레쥬르자양성자3점","127.08262195810906","37.53164206831008","서울특별시 광진구 뚝섬로 657 (자양동)","02-956-5710"
"53","7","안심식육판매소","성풍","126.97076410170028","37.58106363638395","서울특별시 종로구 자하문로 57","02-737-6142"
"54","1","위생등급제","인사동 그집","126.9846497911","37.5744637731","서울특별시 종로구 인사동12길 3 (관훈동)","02-730-5232"
"55","2","채식메뉴음식점","오세계향","126.98526556805748","37.57468009026236","서울특별시 종로구 인사동12길 14-5 (관훈동(지상1층))","02-735-7171"
"56","1","위생등급제","지리산","126.9853967611531","37.57530359486016","서울특별시 종로구 인사동14길 30 12층 (관훈동)","02-723-4696"
"57","1","위생등급제","장자의나비","126.9848036273435","37.57504763752611","서울특별시 종로구 인사동14길 43 ","02-738-6782"
"58","4","저염실천음식점","담쟁이","127.0351551959","37.5630060809","서울특별시 성동구 왕십리로20길 11-1 (도선동(1층))","02-2282-5264"
"59","8","안심참기름","양지참기름고추","127.03442748336066","37.565608372485656","서울특별시 성동구 왕십리로24길 35 (홍익동(지상1층))","02-292-8016"
"60","1","위생등급제","꾼타닥","127.0941613741","37.5383693109","서울특별시 광진구 구의강변로 88 (구의동)","02-453-9971"
"61","1","위생등급제","그램그램","127.09137705615382","37.53393136876112","서울특별시 광진구 구의강변로 35 (구의동)","02-456-7040"
"62","6","먹을만큼적당히","구의축산마을","127.08921097991258","37.539158826370865","서울특별시 광진구 구의로 11 (구의동(1층))","02-455-4004"
"63","9","트랜스지방 안심제과점","뚜레쥬르(군자역점)","127.07954397647103","37.556594650096734","서울특별시 광진구 능동로 302 (능동)","02-455-3878"
"64","1","위생등급제","온달","127.1117068379","37.5586300824","서울특별시 광진구 워커힐로 177 (광장동)","02-450-4518"
"65","1","위생등급제","신선설농탕","127.08290761623007","37.5403166997557","서울특별시 광진구 자양로 139 (자양동)","02-454-7944"
"66","4","저염실천음식점","평창우선생","126.9684978623","37.5643045469","서울특별시 중구 통일로 102 (의주로1가지상1층 바비엥I 101호)",""
"67","1","위생등급제","씨제이푸드빌(주)행복한콩&amp;백설관","127.0032552367","37.5639735341","서울특별시 중구 동호로 330 (쌍림동 제일제당빌딩 지하1층)","02-2279-1342"
"68","1","위생등급제","씨제이푸드빌(주) 로코커리 쌍림점","127.00325523671569","37.56397353413195","서울특별시 중구 동호로 330 (쌍림동CJ제일제당빌딩 지하1층)","02-6244-7313"
"69","1","위생등급제","곰국시집","126.9794804622799","37.56810556554271","서울특별시 중구 무교로 24 (지상23층)","02-0756-3249"
"70","4","저염실천음식점","우래옥","126.9987141312","37.5682190652","서울특별시 중구 창경궁로 62-29 (주교동)","02-2265-0151"
"71","8","안심참기름","대영상회","127.00023995771765","37.56486376308225","서울특별시 중구 을지로32길 36-1 (오장동)","02-2265-5708"
"72","1","위생등급제","강호동 백정","127.0141351686","37.5664558782","서울특별시 중구 퇴계로73길 28 (흥인동(지상1층))",""
"73","1","위생등급제","지리산 버섯 샤브샤브 칼국수","127.0034952635","37.5655124288","서울특별시 중구 을지로38길 25 (광희동1가(지상12층))","02-2265-5420"
"74","6","먹을만큼적당히","남포면옥","126.98167663164361","37.56714726732764","서울특별시 중구 을지로3길 24 (다동지상1층)","02-777-2269"
"75","1","위생등급제","남포면옥","126.98167663164361","37.56714726732764","서울특별시 중구 을지로3길 24 지상1층","02-0777-2269"
"76","1","위생등급제","포베이","127.0067370897","37.5666799792","서울특별시 중구 을지로43길 7 (을지로6가동화빌딩 (지하1층))",""
"77","4","저염실천음식점","발우공양 고상","126.9852081547","37.5673387737","서울특별시 중구 을지로5길 26 (수하동외 1필지 센터원빌딩 지하2층)","02-6030-8955"
"78","14","채식전문음식점","발우공양 고상","126.98520815473981","37.56733877373162","서울특별시 중구 을지로5길 26 (수하동외 1필지 센터원빌딩 지하2층)","02-6030-8955"
"79","1","위생등급제","발우공양 고상","126.98520815473981","37.56733877373162","서울특별시 중구 을지로5길 26 (수하동외 1필지 센터원빌딩 지하2층)","02-6030-8955"
"80","1","위생등급제","송전","126.9788596846","37.5698137436","서울특별시 종로구 종로 14 (서린동)","02-739-8282"
"81","1","위생등급제","화선","126.9788596846","37.5698137436","서울특별시 종로구 종로 14 지하1층 (서린동 한효빌딩)","02-730-7627"
"82","1","위생등급제","미스터피자 종로점","126.98517142338969","37.56991201261833","서울특별시 종로구 종로 70 (종로2가)","02-736-9120"
"83","1","위생등급제","위즈버거","127.00809129379384","37.57081726595722","서울특별시 종로구 종로 272 (종로6가지상5층)","02-2278-8591"
"84","1","위생등급제","아이러브 떡볶이","127.01475933324984","37.56319059159228","서울특별시 중구 퇴계로76길 50 (신당동 성완빌딩 1층 1~7호)","02-2232-7872"
"85","6","먹을만큼적당히","늘봄갈비","127.04436348029293","37.54700846974359","서울특별시 성동구 왕십리로5길 12 (성수동1가)","02-497-0301"
"86","1","위생등급제","파스타 뚜미오","126.97886883385148","37.56948217891035","서울특별시 종로구 청계천로 11 청계11빌딩 지하1층","02-739-6432"
"87","6","먹을만큼적당히","본아이에프(주)본도시락카페 본점","126.98466000561176","37.568816336736376","서울특별시 종로구 청계천로 63-1 (관철동(1층))","02-3476-1003"
"88","1","위생등급제","훌리오","126.98588705733697","37.568639894658986","서울특별시 종로구 청계천로 73 3층 (관철동)","02-7302-5324"
"89","1","위생등급제","토방","126.98431921594316","37.574582660924065","서울특별시 종로구 인사동길 50-1 (관훈동)","02-735-8156"
"90","1","위생등급제","인사동 본죽","126.98374861992901","37.57484207022329","서울특별시 종로구 인사동길 55 (지상2층)","02-722-6288"
"91","1","위생등급제","강남면옥","126.986873432","37.5724638326","서울특별시 종로구 인사동길  18","02-722-8586"
"92","6","먹을만큼적당히","육미","126.98224715303612","37.56698517524217","서울특별시 중구 남대문로 109 (다동 지하1층)","02-771-8872"
"93","4","저염실천음식점","함흥냉면","126.9998822858","37.5642727097","서울특별시 중구 마른내로 108 (오장동)","02-2267-9500"
"94","6","먹을만큼적당히","평래옥","126.990388102824","37.56491022385815","서울특별시 중구 마른내로 21-1 (저동2가1층2층)","02-2267-5892"
"95","1","위생등급제","무라사키","126.9780914664115","37.564663511405584","서울특별시 중구 소공로 119 (태평로2가3층)","02-771-2200"
"96","1","위생등급제","나주곰탕","127.0655457494","37.5609244324","서울특별시 성동구 천호대로 420 1층 (용답동 233-3)","02-3394-8266"
"97","6","먹을만큼적당히","차이나플레인","127.05693612370258","37.544692915417265","서울특별시 성동구 아차산로 113 (성수동2가)","02-2205-2477"
"98","1","위생등급제","옥향루","126.9708447128","37.6065941583","서울특별시 종로구 평창문화로 88 지하1 지상23층 (평창동)","02-3217-0941"
"99","1","위생등급제","미당","126.9715649085","37.5710880213","서울특별시 종로구 경희궁1길 6","02-732-8200"
"100","6","먹을만큼적당히","이화고려정","126.9700967059001","37.562686773142836","서울특별시 중구 서소문로9길 10 (순화동(지하1층지상1층~3층))","02-777-3857"
"101","6","먹을만큼적당히","백상","127.0008511288684","37.56118048662158","서울특별시 중구 서애로1길 49 (묵정동)","02-2263-7700"
"102","1","위생등급제","백상","127.0008511289","37.5611804866","서울특별시 중구 서애로1길 49 (묵정동)","02-2263-7700"
"103","6","먹을만큼적당히","우림정","126.97418970244816","37.56195612965095","서울특별시 중구 세종대로11길 33-3 (서소문동)","02-752-5939"
"104","1","위생등급제","대복","126.97792902640859","37.562800220676685","서울특별시 중구 세종대로14길  22","02-755-0189"
"105","6","먹을만큼적당히","쏘렌토","126.97711839962854","37.56353888344052","서울특별시 중구 세종대로16길 1 (태평로2가(2층))","02-776-8181"
"106","1","위생등급제","쏘렌토","126.97711839962854","37.56353888344052","서울특별시 중구 세종대로16길 1 (태평로2가(2층))","02-776-8181"
"107","1","위생등급제","송원 스끼야끼 샤브샤브","126.9784811251","37.5636400513","서울특별시 중구 세종대로18길 24 (북창동)","02-778-7708"
"108","1","위생등급제","대복정","126.97389945468832","37.57636118227019","서울특별시 종로구 자하문로2길 22 (적선동 1층 2층)","02-738-6428"
"109","1","위생등급제","라세느","126.98100699814146","37.56534516953803","서울특별시 중구 을지로 30 1층(소공동 호텔롯데)","02-771-1000"
"110","1","위생등급제","플레이스케이프","127.00706298940615","37.565742924285566","서울특별시 중구 을지로 264 (을지로6가 롯데피트인 지하3층)","02-6262-4991"
"111","4","저염실천음식점","오메가3치킨영양삼계탕","126.9677019389","37.5202238262","서울특별시 용산구 이촌로64길 61 (이촌동)",""
"112","4","저염실천음식점","다원수산","127.0318788299","37.5664452125","서울특별시 성동구 마장로 200 (홍익동)","02-2295-1645"
"113","4","저염실천음식점","태평양수산","127.0303622831","37.566935754","서울특별시 성동구 마장로 185 (홍익동)","02-2296-4988"
"114","1","위생등급제","연평도꽃게낙지","127.0448511586","37.5677059951","서울특별시 성동구 마장로 323 (마장동(지상12층))","02-2294-6565"
"115","1","위생등급제","베아르시","127.0321084876","37.5635331307","서울특별시 성동구 왕십리로 342 (도선동교보생명(지하1층))","02-2299-3690"
"116","6","먹을만큼적당히","전원 오리구이 생삼겹살","127.03340276572847","37.56226777254784","서울특별시 성동구 왕십리로 323 (행당동)","02-2295-5292"
"117","6","먹을만큼적당히","우래식당","127.03597552705085","37.56482224231381","서울특별시 성동구 고산자로 281 (홍익동)","02-2298-6290"
"118","1","위생등급제","사보텐용산점","126.9647427471","37.5297736038","서울특별시 용산구 한강대로23길 55 4층 407-1호 (한강로3가)",""
"119","6","먹을만큼적당히","쌈사랑","0","0","서울특별시 중구 퇴계로 207 (충무로4가(1층))","0222613233"
"120","6","먹을만큼적당히","쌈사랑","126.99480264887958","37.56164528960773","서울특별시 중구 퇴계로 207 (충무로4가(1층))","02-2261-3233"
"121","1","위생등급제","이조설렁탕.함흥냉면","126.9724698418","37.5359168812","서울특별시 용산구 백범로99길 54 (한강로1가(지상1층))","02-709-7069"
"122","1","위생등급제","새마을식당","126.9784574781668","37.567146723813515","서울특별시 중구 세종대로20길 19 (태평로1가1층)","02-737-0335"
"123","1","위생등급제","한국관","126.97383214818332","37.56165692005743","서울특별시 중구 세종대로9길 42 (서소문동(지하1층))","02-756-5709"
"124","6","먹을만큼적당히","유정혜등촌샤브칼국수","127.01578683007871","37.56213088674997","서울특별시 중구 청구로6길 52 1층 (신당동)","02-2275-1738"
"125","1","위생등급제","새마을식당","127.00151706628742","37.58223853875601","서울특별시 종로구 대학로11길 3 2층 (명륜4가)","02-3672-7004"
"126","6","먹을만큼적당히","소담골두부마을","127.08426467026834","37.53964899937936","서울특별시 광진구 자양로22길 15 (구의동1층)","02-456-1473"
"127","1","위생등급제","코리아 푸드스토리","127.0509215239","37.59247005","서울특별시 동대문구 회기로13길 21 (회기동(과학원길 19))","02-967-3954"
"128","2","채식메뉴음식점","청보리꼴","127.035848395397","37.5924035110042","서울특별시 성북구 북악산로 1062 (종암동(지상2층))",""
"129","6","먹을만큼적당히","장수토종순대국","127.05851190671787","37.60916368873065","서울특별시 성북구 돌곶이로 61 (석관동)","02-960-2033"
"130","1","위생등급제","소한마리정육식당(꿈꾸는이상(주)돈암점)","127.0232872861","37.6014309863","서울특별시 성북구 동소문로 212-66 (돈암동)","02-926-7733"
"131","1","위생등급제","전주관","127.02874374914879","37.608399842541615","서울특별시 성북구 동소문로 315 (길음동현대백화점)","02-2117-1938"
"132","9","트랜스지방 안심제과점","파리바게뜨 정릉점","127.0101746938842","37.608366864757386","서울특별시 성북구 보국문로 44 (정릉동)","02-914-6913"
"133","2","채식메뉴음식점","보리촌","127.00970550273194","37.58845500167665","서울특별시 성북구 삼선교로 35-5 (삼선동2가(지하1층))","02-742-6582"
"134","1","위생등급제","궁","127.0067986326","37.6459562714","서울특별시 강북구 4.19로 70(수유동)","02-994-3338"
"135","1","위생등급제","꽃피는 우산골","127.03062798262741","37.58555383425328","서울특별시 성북구 인촌로28길 16 (안암동5가안암랜드 1층)","02-923-7779"
"136","6","먹을만큼적당히","김가네동태찜.탕","127.09821544454617","37.606463188684785","서울특별시 중랑구 봉화산로56길 46 (신내동)","02-491-5293"
"137","1","위생등급제","시골쌈밥","127.0203566206","37.6348978277","서울특별시 강북구 덕릉로19길 8 (수유동(원앙길 4))","02-908-1264"
"138","1","위생등급제","고기가 좋은 사람들","127.0247195577","37.6314624367","서울특별시 강북구 덕릉로28길 72 (미아동)",""
"139","1","위생등급제","갯마을낙지아구","127.0984319637","37.5988874837","서울특별시 중랑구 용마산로115길 34 (망우동)","02-432-6848"
"140","1","위생등급제","선동보리밥","126.9938899507","37.5948054349","서울특별시 성북구 성북로 142 (성북동)","02-743-2096"
"141","9","트랜스지방 안심제과점","뚜레쥬르(길음뉴타운점)","127.0193394480513","37.60945411402114","서울특별시 성북구 길음로13길 22 (길음동 두산@상가 지하2층20~21호)","02-942-0435"
"142","1","위생등급제","금수강산","127.08917512384705","37.59642252178727","서울특별시 중랑구 망우로50길 15 1층 (상봉동)",""
"143","6","먹을만큼적당히","남원본가추어탕","127.09941063116145","37.599099297275664","서울특별시 중랑구 망우로66길 10 (망우동)","02-973-8850"
"144","1","위생등급제","우마이 돈마니","127.07863573110985","37.558195429381435","서울특별시 광진구 천호대로107길 8 (중곡동)","02-467-5211"
"145","1","위생등급제","(주)야리성","127.066316205","37.5618502266","서울특별시 동대문구 장한로2길 20 (장안동 이레빌딩 지하1층~4층)","02-2215-9999"
"146","1","위생등급제","엄가네식당","127.07720165986396","37.61180545403053","서울특별시 중랑구 동일로 911 (묵동)","02-977-1309"
"147","1","위생등급제","압구정찌개마을","127.0856905903","37.5754355766","서울특별시 중랑구 면목로 254-1 (면목동)","02-434-8836"
"148","6","먹을만큼적당히","대가","127.08357713040948","37.57244218589123","서울특별시 중랑구 면목로 215 (면목동)","02-495-1362"
"149","6","먹을만큼적당히","찜집","127.0859431131354","37.57845912924412","서울특별시 중랑구 면목로 287 (면목동)","02-494-0044"
"150","6","먹을만큼적당히","이조뼈다귀감자탕","127.08463852835643","37.5740812399871","서울특별시 중랑구 면목로 235 (면목동)","02-437-9686"
"151","1","위생등급제","옛골토성(상봉점)","127.0859044711","37.5960609472","서울특별시 중랑구 면목로 494 (상봉동)","02-433-4276"
"152","6","먹을만큼적당히","옛골토성(상봉점)","127.08590447114278","37.596060947161135","서울특별시 중랑구 면목로 494 (상봉동)","02-433-4276"
"153","1","위생등급제","고향풍천장어","127.1004945533","37.5967377835","서울특별시 중랑구 용마산로 512-1 (망우동)","02-432-5548"
"154","1","위생등급제","지호한방삼계탕","127.10070409934087","37.6009830727704","서울특별시 중랑구 용마산로 560 (망우동)","02-433-0054"
"155","1","위생등급제","오리무중유황오리","127.0883417562954","37.58879715488943","서울특별시 중랑구 겸재로 187 (면목동)","02-492-9252"
"156","6","먹을만큼적당히","할매복집","127.0792329908378","37.61771098728371","서울특별시 중랑구 공릉로 82 (묵동)","02-979-7606"
"157","6","먹을만큼적당히","강나루","127.08811067510083","37.538734380519266","서울특별시 광진구 아차산로57길 5 (구의동)","02-452-5251"
"158","4","저염실천음식점","남원율천추어탕","127.1024371022","37.5467272992","서울특별시 광진구 아차산로73길 48",""
"159","1","위생등급제","요리왕","127.0186410776","37.588417889","서울특별시 성북구 보문로30길 14 (보문동1가 1층)","02-926-1232"
"160","4","저염실천음식점","한우리","127.0315921429","37.5737361441","서울특별시 동대문구 천호대로 74 (용두동(하정로 76))","02-929-6231"
"161","1","위생등급제","명동칼국수샤브샤브동대문홈플러스점","127.03876950896753","37.574548504366966","서울특별시 동대문구 천호대로 133","02-965-2251"
"162","1","위생등급제","한우리","127.03159214290957","37.573736144051814","서울특별시 동대문구 천호대로 74","02-929-6231"
"163","7","안심식육판매소","명품횡성청정한우","127.06959778119392","37.57566239982541","서울특별시 동대문구 답십리로65길 69","02-2248-7124"
"164","1","위생등급제","미락","127.0391059144","37.5770855938","서울특별시 동대문구 왕산로28길 23 1층 (용두동)","02-966-2809"
"165","1","위생등급제","풀잎보리쌈밥생고기","127.0767083164","37.5946112801","서울특별시 중랑구 중랑역로 5 (중화동)","02-2207-3323"
"166","6","먹을만큼적당히","검바위족발","127.07788450175063","37.60192655578577","서울특별시 중랑구 중랑역로 94 (중화동외 1필지)","02-432-1253"
"167","1","위생등급제","돈돼지털보네용두동쭈꾸미","127.07341143198108","37.590458002651395","서울특별시 중랑구 중랑천로 58 (면목동)","02-435-6910"
"168","6","먹을만큼적당히","소문난순대국","127.01440268569294","37.59198280790941","서울특별시 성북구 보문로40길 17 (동소문동5가)","02-953-7354"
"169","1","위생등급제","장안정","127.0751725545","37.5717666847","서울특별시 동대문구 답십리로 314 (장안동(답십리길 314))","02-2246-6574"
"170","1","위생등급제","천호낙지","127.0680158642","37.5788924849","서울특별시 동대문구 사가정로 207 1층 106~110호 (장안동)"," 07088267355"
"171","1","위생등급제","시인과농부","127.07126691040146","37.57856620911498","서울특별시 동대문구 사가정로 238 1층 (장안동)","02-2215-1114"
"172","1","위생등급제","전농 크리스탈뷔페","127.04690197491041","37.57457438528739","서울특별시 동대문구 서울시립대로 36 6층 (전농동)","02-2217-4000"
"173","1","위생등급제","회밀리","127.08893080500613","37.58142298727032","서울특별시 중랑구 면목로44길 5 (면목동)","02-433-9845"
"174","9","트랜스지방 안심제과점","파리바게뜨청량리점","127.04721012381972","37.582124592698115","서울특별시 동대문구 왕산로 225 (청량리동A동 109호 22-1호)","02-967-1120"
"175","1","위생등급제","왔다~생고기마을","127.0651049185","37.5953931035","서울특별시 동대문구 외대역동로 80-1 1층 (이문동)","02-966-0558"
"176","1","위생등급제","해적선","127.0698449594","37.5688110886","서울특별시 동대문구 장한로 92 1층 (장안동)","02-2247-3008"
"177","9","트랜스지방 안심제과점","파리바게뜨","127.05702063251722","37.57837933544618","서울특별시 동대문구 전농로 151 (전농동(전농로151))","02-2212-4845"
"178","1","위생등급제","홍능갈비집","127.0426752407","37.5868943749","서울특별시 동대문구 제기로 85 (청량리동(제기로 85))","02-966-0420"
"179","1","위생등급제","육전식당플러스","127.024370773","37.576361552","서울특별시 동대문구 한빛로 6 1층 (신설동)","02-926-6373"
"180","4","저염실천음식점","동래","127.0878344038","37.5385724063","서울특별시 광진구 자양로18길 79","02-447-1588"
"181","1","위생등급제","동래","127.08783440384128","37.538572406340826","서울특별시 광진구 자양로18길 79 (구의동)","02-447-1588"
"182","6","먹을만큼적당히","대원칼국수","127.08664791930845","37.537971414869645","서울특별시 광진구 자양로18길 56 (구의동16)","02-454-3112"
"183","10","안심마트","(주)지에스리테일","0","0","서울특별시 강북구 덕릉로 176 (번동)","02-988-5103"
"184","1","위생등급제","동네 감자탕","127.02476828477348","37.641740865636784","서울특별시 강북구 한천로 1064 (수유동(한천로1064)(지상1층))","02-900-5055"
"185","1","위생등급제","태평양참치","127.0265127149512","37.640464692452205","서울특별시 강북구 한천로 1042 (수유동(4.19길 10)(지상2층))","02-998-5544"
"186","1","위생등급제","수작","127.0151885368","37.6478799906","서울특별시 강북구 한천로 1173 (수유동)","02-907-2301"
"187","1","위생등급제","(주)이랜드파크 외식 피자몰 미아삼거리역점","127.0305307919","37.6137008136","서울특별시 강북구 도봉로 52 5층 (미아동)","02-6416-4296"
"188","1","위생등급제","마루국시","127.0248869315","37.6305830391","서울특별시 강북구 도봉로 242 2층 (미아동)",""
"189","1","위생등급제","담향채(미아점)","127.02956674223854","37.61607246090351","서울특별시 강북구 도봉로 77 (미아동(도봉로 77)(지상2층))","02-987-8803"
"190","1","위생등급제","신주쿠","127.03051756573627","37.614594597788844","서울특별시 강북구 도봉로 62 (미아동롯데백화점 8층)","02-944-2688"
"191","1","위생등급제","오백집","127.0873490044","37.5841415638","서울특별시 중랑구 면목로55길 17","02-492-0555"
"192","1","위생등급제","백운면옥","127.01246510883902","37.65163560777983","서울특별시 강북구 삼양로 547 (우이동(지상1층))","02-991-2992"
"193","4","저염실천음식점","솔샘 명태감자탕","127.0284572642","37.6174386318","서울특별시 강북구 솔샘로 327 (미아동(솔샘길 10)(지상1층))","02-989-0066"
"194","1","위생등급제","양촌리돼지갈비","127.0292181648","37.6167861304","서울특별시 강북구 솔샘로 334-8 (미아동)","02-945-2416"
"195","1","위생등급제","조마루뼈다귀","127.0290415549","37.6170060152","서울특별시 강북구 솔샘로 332 (미아동)","02-984-5300"
